Monkey Hunt - Monkey Distribution,,,,,,,,,,,
,,,,,,,,,,,
,,Additional Info/Reference,,,,,,,,,
S/No,Zone,Details of Location,Nearby Monkey,Multi?,On-Glass?,Look Up?,Look Down?,Street Level?,Only Tail?,Hunt Difficulty,Hint?
1,Exit 4,Near carpark exit,"20,21",2,Yes,,,Yes,No,,
2,Exit 4,Near carpark exit,"20,21",1,Yes,,,Yes,No,,
3,Exit 3,Walkway leading to Exit 3 (Left side from station to Exit),,"4,39",No,,,No,No,,
4,Exit 3,Walkway leading to Exit 3 (Left side from station to Exit),,"3,39",No,,,No,No,,
5,Platform,Lift shaft facing train towards Woodlands,6,6,Yes,,,No,No,****,
6,Platform,Lift shaft facing train towards Woodlands,5,5,Yes,,,No,No,****,
7,Exit 4,Facing Bojio,,No,Yes,,,Yes,No,,"Don't say no banana (""bojio"")"
8,Exit 5,Along the main road,,No,Yes,Yes,No,Yes,No,,
9,"Exit 1,Exit 2",Tunnel towards Exit 1 and 2 - Right side middle section,10,No,,,,,Yes,,Top of 10
10,"Exit 1, Exit 2",Tunnel towards Exit 1 and 2 - Right side middle section,9,No,,,,,,,Bottom of 9
11,Exit 3,Above transit and area maps,,,,,,Yes,Yes,,
12,Exit 2,Right side of the tunnel (nearer to the end of the tunnel eg. Closer to Exit 2),,"13,14",No,No,Yes,No,No,*,
13,Exit 2,Right side of the tunnel (nearer to the end of the tunnel eg. Closer to Exit 2),,"12,14",No,No,Yes,No,No,*,
14,Exit 2,Right side of the tunnel (nearer to the end of the tunnel eg. Closer to Exit 2),,"12,13",No,No,Yes,No,No,*,
15,,Still cannot find this monkey Gold class monkey ,,,,,,,No,*****,
16,Exit 5,Left side of escalator going out of station,,17,Yes,No,No,Yes,No,**,
17,Exit 5,Left side of escalator going out of station,,16,Yes,No,No,Yes,No,**,
18,Exit 2,In between of 2 floors on the right side when riding upwards - nearer to street level,,26,No,Yes,No,Yes,No,,
19,Concourse,Next to passenger service - ticketed area,82,22,,,,,,,
20,Exit 4,Façade of Exit 4 (near entrance to carpark),"1,2",21,No,Yes,No,Yes,No,,
21,Exit 4,Façade of Exit 4 (near entrance to carpark),"1,2",20,No,Yes,No,Yes,Yes,,
22,Concourse,Next to passenger service - ticketed area,82,19,,,,,,,
23,Exit 3,Right side of the tunnel (near Junnimed Service),,No,No,Yes,No,No,No,****,
24,Platform,Near fire-extinguisher (beginning of train towards Woodlands),,25,No,No,No,No,No,,
25,Platform,Near fire-extinguisher (beginning of train towards Woodlands),,24,No,No,No,No,No,,
26,Exit 2,In between escalator,,18,No,No,No,No,No,,
27,Concourse,Ticketed area near POSB ATM,"28,29",,,,,,,,Top of 28
28,Exit 2,Left side of tunnel,27,29,,,,,,,Bottom of 27
29,Exit 2,Left side of tunnel,27,28,,,,,,,
30,Exit 3,On external façade near zebra crossing,,No,No,Yes,No,Yes,No,****,
31,Exit 4,On the top of the exit signboard,,,,,,,No,*****,
32,Exit 5,"Under Fire Extinguisher sign, near escalator","33,46,47",78,No,No,Yes,No,No,,
33,Exit 5,Escalator near to ground level of Exit,"32,46,47",No,No,No,No,No,No,,
34,Exit 4,Right side of tunnel,,"35,36",No,Yes,No,No,No,,
35,Exit 4,Right side of tunnel,,"34,36",No,Yes,No,No,No,,
36,Exit 4,Right side of tunnel,,"34,35",No,Yes,No,No,No,,
37,Platform,Near emergency exit (beginning of train towards Bayshore),,38,No,Yes,No,No,No,,
38,Platform,Near emergency exit (beginning of train towards Bayshore),,37,No,Yes,No,No,No,,
39,Exit 4,Left side of tunnel,,"3,4",,,,,,,
40,Exit 2,Right side of tunnel (near fire extinguisher signage),,41,,,,,,,
41,Exit 2,Right side of tunnel (near fire extinguisher signage),,40,,,,,,,
42,Exit 1,"Stair case (mid level, near access panel B1508)",,43,No,No,No,No,No,,
43,Exit 1,"Stair case (mid level, near access panel B1508)",,42,No,No,No,No,No,,
44,Exit 3,Lift at concourse level (Near Exit 3),,45,No,No,No,No,No,,
45,Exit 3,Lift at concourse level (Near Exit 3),,44,No,No,No,No,No,,
46,Exit 5,Exterior of lift shaft at concourse level,,47,Yes,,,,,,
47,Exit 5,Exterior of lift shaft at concourse level,,46,Yes,,,,,,
48,Exit 5,"Half exposed (only can see banana). Between Exit 3 and 5, look at the ceiling, near Fire Extinguisher sign",,No,No,Yes,No,No,No,****,
49,Concourse,"Near toilet, in between male and female",,No,No,Yes,No,No,No,****,
50,Exit 4,Left side of tunnel,,"51,52",No,No,Yes,No,No,,
51,Exit 4,Left side of tunnel,,"50,52",No,No,Yes,No,No,,
52,Exit 4,Left side of tunnel,,"50,51",No,No,Yes,No,No,,
53,"Exit 1, Exit 2",Near Exit 1 and 2 tunnel inter-section,,54,No,No,No,No,No,,
54,"Exit 1, Exit 2",Near Exit 1 and 2 tunnel inter-section,,53,No,No,No,No,No,,
55,Exit 5,Façade of Exit 5 facing main road (above Exit Staircase 1),,81,No,Yes,No,Yes,No,****,
56,"Concourse, Exit 5",Exterior of lift between platform and concourse level (Paid zone),,No,Yes,Yes,No,No,No,****,
57,Exit 2,In between escalator (mid tier),,No,No,Yes,No,No,No,***,
58,Exit 3,Escalator near street level,,"74,75,76",No,Yes,No,Yes,No,,
59,Exit 2,Left side of escalator coming upwards from station. Hard to spot.,,"60,61",Yes,,,Yes,,***,
60,Exit 2,Left side of escalator coming upwards from station. Hard to spot.,,,Yes,,,Yes,,***,
61,Exit 2,Left side of escalator coming upwards from station. Hard to spot.,,,Yes,,,Yes,,***,
62,Exit 5,In between digital advertisement board and POSB ATM,,63,No,No,Yes,No,No,,
63,Exit 5,In between digital advertisement board and POSB ATM,,62,No,No,Yes,No,No,,
64,Concourse,Side glass panel along the walk way (Near passenger service),,,Yes,No,Yes,No,No,**,
65,Exit 3,Right side of tunnel,,,,,Yes,,,,
66,Exit 4,"Near lift, left side of tunnel",,67,,Yes,,,,,
67,Exit 4,"Near lift, left side of tunnel",,88,,Yes,,,,,
68,Exit 1,Nearer to ground level,,"69,70",,,,,,,
69,Exit 1,Nearer to ground level,,"68,70",,,,Yes,,,
70,Exit 1,Nearer to ground level,,68.69,,,,Yes,,,
71,Exit 5,"Near drain, need to see from outside of station, further away from Thomson Plaza",,68.69,Yes,,,Yes,,,
72,Exit 5,Staircase (middle segment),,73,Yes,,,,,***,
73,Exit 5,Staircase (middle segment),,72,Yes,,,,,***,
74,Exit 3,Escalator near street level,,"58,75,76",No,Yes,No,Yes,No,,
75,Exit 3,Escalator near street level,,"58,74,76",No,Yes,No,Yes,No,,
76,Exit 3,Escalator near street level,,"58,74,75",No,Yes,No,Yes,No,,
77,Exit 2,"In between 2 floors, noticable only when you go down the escalator",,,No,Yes,No,Yes,No,****,Safety: Please hold on to the handrail and pay attention to your surroundings
78,Exit 5,"Under Fire Extinguisher sign, near escalator","33,46,47",32,No,No,No,No,No,,
79,Exit 2,Walkway near the bus stop,,80,Yes,No,Yes,Yes,No,,
80,Exit 2,Walkway near the bus stop,,79,Yes,No,Yes,Yes,No,,
81,Exit 5,Façade of Exit 5 facing main road (above Exit Staircase 1),,55,No,Yes,No,Yes,No,,
82,Concourse,"Near Passenger Service, hidden in the back alley",19.22,,,,,,,,Monkeys may need help getting around
83,Exit 4,"Along the walkway, near the fire extinguisher banner closer to exit 4",,,,,,,Yes,*****,
84,Exit 4,"Along the walkway, near the fire extinguisher banner closer to exit 4",,,,,,,,,
85,Exit 4,Staircase,,,,Yes,,,,,
86,Exit 4,Between escalator,,,,,,,,,
87,Exit 2,"Near lift of exit, end of tunnel (concourse)",,88,,,,,,,
88,Exit 2,"Near lift of exit, end of tunnel (concourse)",,87,,,,,,,