zone_id,zone_name,monkey_id,monkey_number,monkey_name,artwork_filename,clue,question,option_a,option_b,option_c,correct_option,emoji_icon,
upper-thomson-exit-4,Exit 4,exit-4-monkey-1,1,Carpark Scout,monkey-1_2.png,"This cheeky monkey loves glass panels—peer through the glass, even if it looks a little dusty. You’ll be closer to street level for this one. Location hint: Near carpark exit.",Where did you see this monkey?,Near the carpark exit,Above the exit walkway,Between the escalators,A,🐒,
upper-thomson-exit-4,Exit 4,exit-4-monkey-2,2,Carpark Scout,monkey-1_2.png,"This cheeky monkey loves glass panels—peer through the glass, even if it looks a little dusty. You’ll be closer to street level for this one. Location hint: Near carpark exit.",Where did you see this monkey?,Above the exit walkway,Near the carpark exit,Between the escalators,B,🐒,
upper-thomson-exit-3,Exit 3,exit-3-monkey-3,3,Exit Explorer,monkey-3.png,This playful monkey is somewhere around Exit 3. Location hint: Walkway leading to Exit 3 (Left side from station to Exit).,Where did you see this monkey?,On the ceiling,In the concourse,Near the exit,C,🐒,
upper-thomson-exit-3,Exit 3,exit-3-monkey-4,4,Exit Explorer,monkey-4.png,This playful monkey is somewhere around Exit 3. Location hint: Walkway leading to Exit 3 (Left side from station to Exit).,Where did you see this monkey?,Near the exit,On the ceiling,In the concourse,A,🐒,
upper-thomson-platform,Platform,platform-monkey-5,5,Lift Shaft Lurker,monkey-5.png,"This cheeky monkey loves glass panels—peer through the glass, even if it looks a little dusty. Location hint: Lift shaft facing train towards Woodlands.",Where did you see this monkey?,Along the roadside walkway,On the lift shaft glass,In the concourse,B,🐒,
upper-thomson-platform,Platform,platform-monkey-6,6,Lift Shaft Lurker,monkey-6.png,"This cheeky monkey loves glass panels—peer through the glass, even if it looks a little dusty. Location hint: Lift shaft facing train towards Woodlands.",Where did you see this monkey?,Along the roadside walkway,In the concourse,On the lift shaft glass,C,🐒,
upper-thomson-exit-4,Exit 4,exit-4-monkey-7,7,Bojio Bandit,monkey-7.png,"This cheeky monkey loves glass panels—peer through the glass, even if it looks a little dusty. You’ll be closer to street level for this one. Location hint: Facing Bojio. Extra hint: Don't say no banana (""bojio"").",Where did you see this monkey?,Facing Bojio,By the bench,At street level,A,🐒,
upper-thomson-exit-5,Exit 5,exit-5-monkey-8,8,Roadside Rascal,monkey-8.png,"This cheeky monkey loves glass panels—peer through the glass, even if it looks a little dusty. Heads up—this one may be higher than eye level. You’ll be closer to street level for this one. Location hint: Along the main road.",Where did you see this monkey?,Near the gantry,Along the roadside walkway,Between the escalators,B,🐒,
upper-thomson-exit-1-exit-2,"Exit 1, Exit 2",exit-1-exit-2-monkey-9,9,Tunnel Trickster,monkey-9.png,"This monkey is playing hide-and-seek in the tunnel, so scan the wall as you walk. You might notice the tail before you spot the whole monkey. Location hint: Tunnel towards Exit 1 and 2 - Right side middle section. Extra hint: Top of 10.",Where did you see this monkey?,By the lift shaft,Near the floor,Along the tunnel wall,C,🐒,
upper-thomson-exit-1-exit-2,"Exit 1, Exit 2",exit-1-exit-2-monkey-10,10,Tunnel Trickster,monkey-10.png,"This monkey is playing hide-and-seek in the tunnel, so scan the wall as you walk. Location hint: Tunnel towards Exit 1 and 2 - Right side middle section. Extra hint: Bottom of 9.",Where did you see this monkey?,Along the tunnel wall,By the lift shaft,Near the floor,A,🐒,
upper-thomson-exit-3,Exit 3,exit-3-monkey-11,11,Exit Explorer,monkey-11.png,This playful monkey is somewhere around Exit 3. You’ll be closer to street level for this one. You might notice the tail before you spot the whole monkey. Location hint: Above transit and area maps.,Where did you see this monkey?,By the lift shaft,At street level,Facing Bojio,B,🐒,
upper-thomson-exit-2,Exit 2,exit-2-monkey-12,12,Tunnel Trickster,monkey-12.png,"This monkey is playing hide-and-seek in the tunnel, so scan the wall as you walk. Don't just stare ahead; this one hides lower than you think. Location hint: Right side of the tunnel (nearer to the end of the tunnel eg. Closer to Exit 2).",Where did you see this monkey?,By the lift shaft,Near the floor,Along the tunnel wall,C,🐒,
upper-thomson-exit-2,Exit 2,exit-2-monkey-13,13,Tunnel Trickster,monkey-13.png,"This monkey is playing hide-and-seek in the tunnel, so scan the wall as you walk. Don't just stare ahead; this one hides lower than you think. Location hint: Right side of the tunnel (nearer to the end of the tunnel eg. Closer to Exit 2).",Where did you see this monkey?,Along the tunnel wall,By the lift shaft,Near the floor,A,🐒,
upper-thomson-exit-2,Exit 2,exit-2-monkey-14,14,Tunnel Trickster,monkey-14.png,"This monkey is playing hide-and-seek in the tunnel, so scan the wall as you walk. Don't just stare ahead; this one hides lower than you think. Location hint: Right side of the tunnel (nearer to the end of the tunnel eg. Closer to Exit 2).",Where did you see this monkey?,By the lift shaft,Along the tunnel wall,Near the floor,B,🐒,
upper-thomson-,,-monkey-15,15,Monkey Mischief,monkey-15.png,This playful monkey is somewhere around . Location hint: Still cannot find this monkey Gold class monkey .,Where did you see this monkey?,Near the floor,By the lift shaft,Along the station wall,C,🐒,
upper-thomson-exit-5,Exit 5,exit-5-monkey-16,16,Escalator Acrobat,monkey-16.png,"This cheeky monkey loves glass panels—peer through the glass, even if it looks a little dusty. You’ll be closer to street level for this one. Location hint: Left side of escalator going out of station.",Where did you see this monkey?,On the glass panel,Near the floor,At street level,A,🐒,
upper-thomson-exit-5,Exit 5,exit-5-monkey-17,17,Escalator Acrobat,monkey-17.png,"This cheeky monkey loves glass panels—peer through the glass, even if it looks a little dusty. You’ll be closer to street level for this one. Location hint: Left side of escalator going out of station.",Where did you see this monkey?,Near the floor,On the glass panel,At street level,B,🐒,
upper-thomson-exit-2,Exit 2,exit-2-monkey-18,18,Exit Explorer,monkey-18.png,This playful monkey is somewhere around Exit 2. Heads up—this one may be higher than eye level. You’ll be closer to street level for this one. Location hint: In between of 2 floors on the right side when riding upwards - nearer to street level.,Where did you see this monkey?,Near the floor,Near the exit lift,Above the exit walkway,C,🐒,
upper-thomson-concourse,Concourse,concourse-monkey-19,19,Concourse Clown,monkey-19.png,This playful monkey is somewhere around Concourse. Location hint: Next to passenger service - ticketed area.,Where did you see this monkey?,In the concourse,Along the tunnel wall,At street level,A,🐒,
upper-thomson-exit-4,Exit 4,exit-4-monkey-20,20,Carpark Scout,monkey-20_21.png,This playful monkey is somewhere around Exit 4. Heads up—this one may be higher than eye level. You’ll be closer to street level for this one. Location hint: Façade of Exit 4 (near entrance to carpark).,Where did you see this monkey?,Near the floor,Above the exit walkway,Near the exit lift,B,🐒,
upper-thomson-exit-4,Exit 4,exit-4-monkey-21,21,Carpark Scout,monkey-20_21.png,This playful monkey is somewhere around Exit 4. Heads up—this one may be higher than eye level. You’ll be closer to street level for this one. You might notice the tail before you spot the whole monkey. Location hint: Façade of Exit 4 (near entrance to carpark).,Where did you see this monkey?,Near the floor,Near the exit lift,Above the exit walkway,C,🐒,
upper-thomson-concourse,Concourse,concourse-monkey-22,22,Concourse Clown,monkey-22.png,This playful monkey is somewhere around Concourse. Location hint: Next to passenger service - ticketed area.,Where did you see this monkey?,In the concourse,Along the tunnel wall,At street level,A,🐒,
upper-thomson-exit-3,Exit 3,exit-3-monkey-23,23,Tunnel Trickster,monkey-23.png,"This monkey is playing hide-and-seek in the tunnel, so scan the wall as you walk. Heads up—this one may be higher than eye level. Location hint: Right side of the tunnel (near Junnimed Service).",Where did you see this monkey?,By the lift shaft,Along the tunnel wall,Near the floor,B,🐒,
upper-thomson-platform,Platform,platform-monkey-24,24,Platform Prankster,monkey-24.png,This playful monkey is somewhere around Platform. Location hint: Near fire-extinguisher (beginning of train towards Woodlands).,Where did you see this monkey?,Above the exit walkway,On the burnt wall panel,At the platform side,C,🐒,
upper-thomson-platform,Platform,platform-monkey-25,25,Platform Prankster,monkey-25.png,This playful monkey is somewhere around Platform. Location hint: Near fire-extinguisher (beginning of train towards Woodlands).,Where did you see this monkey?,At the platform side,Above the exit walkway,On the burnt wall panel,A,🐒,
upper-thomson-exit-2,Exit 2,exit-2-monkey-26,26,Escalator Acrobat,monkey-26.png,This monkey prefers the moving route—check the escalator area carefully. Location hint: In between escalator.,Where did you see this monkey?,In the concourse,Between the escalators,Along the tunnel wall,B,🐒,
upper-thomson-concourse,Concourse,concourse-monkey-27,27,Concourse Clown,monkey-27.png,This playful monkey is somewhere around Concourse. Location hint: Ticketed area near POSB ATM. Extra hint: Top of 28.,Where did you see this monkey?,Along the tunnel wall,At street level,In the concourse,C,🐒,
upper-thomson-exit-2,Exit 2,exit-2-monkey-28,28,Tunnel Trickster,monkey-28.png,"This monkey is playing hide-and-seek in the tunnel, so scan the wall as you walk. Location hint: Left side of tunnel. Extra hint: Bottom of 27.",Where did you see this monkey?,Along the tunnel wall,By the lift shaft,Near the floor,A,🐒,
upper-thomson-exit-2,Exit 2,exit-2-monkey-29,29,Tunnel Trickster,monkey-29.png,"This monkey is playing hide-and-seek in the tunnel, so scan the wall as you walk. Location hint: Left side of tunnel.",Where did you see this monkey?,By the lift shaft,Along the tunnel wall,Near the floor,B,🐒,
upper-thomson-exit-3,Exit 3,exit-3-monkey-30,30,Exit Explorer,monkey-30.png,This playful monkey is somewhere around Exit 3. Heads up—this one may be higher than eye level. You’ll be closer to street level for this one. Location hint: On external façade near zebra crossing.,Where did you see this monkey?,Near the floor,Near the exit lift,Above the exit walkway,C,🐒,
upper-thomson-exit-4,Exit 4,exit-4-monkey-31,31,Exit Explorer,monkey-31.png,This playful monkey is somewhere around Exit 4. Location hint: On the top of the exit signboard.,Where did you see this monkey?,Near the exit,On the ceiling,In the concourse,A,🐒,
upper-thomson-exit-5,Exit 5,exit-5-monkey-32,32,Escalator Acrobat,monkey-32.png,"This monkey prefers the moving route—check the escalator area carefully. Don't just stare ahead; this one hides lower than you think. Location hint: Under Fire Extinguisher sign, near escalator.",Where did you see this monkey?,Near the carpark exit,Near the fire extinguisher banner,Between the escalators,B,🐒,
upper-thomson-exit-5,Exit 5,exit-5-monkey-33,33,Escalator Acrobat,monkey-33.png,This monkey prefers the moving route—check the escalator area carefully. Location hint: Escalator near to ground level of Exit.,Where did you see this monkey?,On the ceiling,In the concourse,Near the exit,C,🐒,
upper-thomson-exit-4,Exit 4,exit-4-monkey-34,34,Tunnel Trickster,monkey-34_35_36.png,"This monkey is playing hide-and-seek in the tunnel, so scan the wall as you walk. Heads up—this one may be higher than eye level. Location hint: Right side of tunnel.",Where did you see this monkey?,Along the tunnel wall,By the lift shaft,Near the floor,A,🐒,
upper-thomson-exit-4,Exit 4,exit-4-monkey-35,35,Tunnel Trickster,monkey-34_35_36.png,"This monkey is playing hide-and-seek in the tunnel, so scan the wall as you walk. Heads up—this one may be higher than eye level. Location hint: Right side of tunnel.",Where did you see this monkey?,By the lift shaft,Along the tunnel wall,Near the floor,B,🐒,
upper-thomson-exit-4,Exit 4,exit-4-monkey-36,36,Tunnel Trickster,monkey-34_35_36.png,"This monkey is playing hide-and-seek in the tunnel, so scan the wall as you walk. Heads up—this one may be higher than eye level. Location hint: Right side of tunnel.",Where did you see this monkey?,By the lift shaft,Near the floor,Along the tunnel wall,C,🐒,
upper-thomson-platform,Platform,platform-monkey-37,37,Platform Prankster,monkey-37.png,This playful monkey is somewhere around Platform. Heads up—this one may be higher than eye level. Location hint: Near emergency exit (beginning of train towards Bayshore).,Where did you see this monkey?,At the platform side,Above the exit walkway,On the burnt wall panel,A,🐒,
upper-thomson-platform,Platform,platform-monkey-38,38,Platform Prankster,monkey-38.png,This playful monkey is somewhere around Platform. Heads up—this one may be higher than eye level. Location hint: Near emergency exit (beginning of train towards Bayshore).,Where did you see this monkey?,Above the exit walkway,At the platform side,On the burnt wall panel,B,🐒,
upper-thomson-exit-4,Exit 4,exit-4-monkey-39,39,Tunnel Trickster,monkey-39.png,"This monkey is playing hide-and-seek in the tunnel, so scan the wall as you walk. Location hint: Left side of tunnel.",Where did you see this monkey?,By the lift shaft,Near the floor,Along the tunnel wall,C,🐒,
upper-thomson-exit-2,Exit 2,exit-2-monkey-40,40,Tunnel Trickster,monkey-40.png,"This monkey is playing hide-and-seek in the tunnel, so scan the wall as you walk. Location hint: Right side of tunnel (near fire extinguisher signage).",Where did you see this monkey?,Near the fire extinguisher banner,Near the carpark exit,Between the escalators,A,🐒,
upper-thomson-exit-2,Exit 2,exit-2-monkey-41,41,Tunnel Trickster,monkey-41.png,"This monkey is playing hide-and-seek in the tunnel, so scan the wall as you walk. Location hint: Right side of tunnel (near fire extinguisher signage).",Where did you see this monkey?,Near the carpark exit,Near the fire extinguisher banner,Between the escalators,B,🐒,
upper-thomson-exit-1,Exit 1,exit-1-monkey-42,42,Staircase Swinger,monkey-42_43.png,"This monkey picked the stairs for a dramatic entrance. Location hint: Stair case (mid level, near access panel B1508).",Where did you see this monkey?,On the ceiling,In the concourse,Near the exit,C,🐒,
upper-thomson-exit-1,Exit 1,exit-1-monkey-43,43,Staircase Swinger,monkey-42_43.png,"This monkey picked the stairs for a dramatic entrance. Location hint: Stair case (mid level, near access panel B1508).",Where did you see this monkey?,Near the exit,On the ceiling,In the concourse,A,🐒,
upper-thomson-exit-3,Exit 3,exit-3-monkey-44,44,Exit Explorer,monkey-44_45.png,This playful monkey is somewhere around Exit 3. Location hint: Lift at concourse level (Near Exit 3).,Where did you see this monkey?,Near the gantry,Near the exit lift,Near the stairs,B,🐒,
upper-thomson-exit-3,Exit 3,exit-3-monkey-45,45,Exit Explorer,monkey-44_45.png,This playful monkey is somewhere around Exit 3. Location hint: Lift at concourse level (Near Exit 3).,Where did you see this monkey?,Near the gantry,Near the stairs,Near the exit lift,C,🐒,
upper-thomson-exit-5,Exit 5,exit-5-monkey-46,46,Lift Shaft Lurker,monkey-46.png,"This cheeky monkey loves glass panels—peer through the glass, even if it looks a little dusty. Location hint: Exterior of lift shaft at concourse level.",Where did you see this monkey?,On the lift shaft glass,Along the roadside walkway,In the concourse,A,🐒,
upper-thomson-exit-5,Exit 5,exit-5-monkey-47,47,Lift Shaft Lurker,monkey-47.png,"This cheeky monkey loves glass panels—peer through the glass, even if it looks a little dusty. Location hint: Exterior of lift shaft at concourse level.",Where did you see this monkey?,Along the roadside walkway,On the lift shaft glass,In the concourse,B,🐒,
upper-thomson-exit-5,Exit 5,exit-5-monkey-48,48,Exit Explorer,monkey-48.png,"This monkey hides near something bright and safety-related—good eyes will spot it. Heads up—this one may be higher than eye level. Location hint: Half exposed (only can see banana). Between Exit 3 and 5, look at the ceiling, near Fire Extinguisher sign.",Where did you see this monkey?,Near the carpark exit,Between the escalators,Near the fire extinguisher banner,C,🐒,
upper-thomson-concourse,Concourse,concourse-monkey-49,49,Concourse Clown,monkey-49.png,"This playful monkey is somewhere around Concourse. Heads up—this one may be higher than eye level. Location hint: Near toilet, in between male and female.",Where did you see this monkey?,In the concourse,Along the tunnel wall,At street level,A,🐒,
upper-thomson-exit-4,Exit 4,exit-4-monkey-50,50,Tunnel Trickster,monkey-50_51.png,"This monkey is playing hide-and-seek in the tunnel, so scan the wall as you walk. Don't just stare ahead; this one hides lower than you think. Location hint: Left side of tunnel.",Where did you see this monkey?,By the lift shaft,Along the tunnel wall,Near the floor,B,🐒,
upper-thomson-exit-4,Exit 4,exit-4-monkey-51,51,Tunnel Trickster,monkey-50_51.png,"This monkey is playing hide-and-seek in the tunnel, so scan the wall as you walk. Don't just stare ahead; this one hides lower than you think. Location hint: Left side of tunnel.",Where did you see this monkey?,By the lift shaft,Near the floor,Along the tunnel wall,C,🐒,
upper-thomson-exit-4,Exit 4,exit-4-monkey-52,52,Tunnel Trickster,monkey-52.png,"This monkey is playing hide-and-seek in the tunnel, so scan the wall as you walk. Don't just stare ahead; this one hides lower than you think. Location hint: Left side of tunnel.",Where did you see this monkey?,Along the tunnel wall,By the lift shaft,Near the floor,A,🐒,
upper-thomson-exit-1-exit-2,"Exit 1, Exit 2",exit-1-exit-2-monkey-53,53,Tunnel Trickster,monkey-53_54.png,"This monkey is playing hide-and-seek in the tunnel, so scan the wall as you walk. Location hint: Near Exit 1 and 2 tunnel inter-section.",Where did you see this monkey?,By the lift shaft,Along the tunnel wall,Near the floor,B,🐒,
upper-thomson-exit-1-exit-2,"Exit 1, Exit 2",exit-1-exit-2-monkey-54,54,Tunnel Trickster,monkey-53_54.png,"This monkey is playing hide-and-seek in the tunnel, so scan the wall as you walk. Location hint: Near Exit 1 and 2 tunnel inter-section.",Where did you see this monkey?,By the lift shaft,Near the floor,Along the tunnel wall,C,🐒,
upper-thomson-exit-5,Exit 5,exit-5-monkey-55,55,Staircase Swinger,monkey-55.png,This monkey picked the stairs for a dramatic entrance. Heads up—this one may be higher than eye level. You’ll be closer to street level for this one. Location hint: Façade of Exit 5 facing main road (above Exit Staircase 1).,Where did you see this monkey?,Near the stairs,Along the tunnel wall,Above the exit walkway,A,🐒,
upper-thomson-concourse-exit-5,"Concourse, Exit 5",concourse-exit-5-monkey-56,56,Glass Panel Peeker,monkey-56.png,"This cheeky monkey loves glass panels—peer through the glass, even if it looks a little dusty. Heads up—this one may be higher than eye level. Location hint: Exterior of lift between platform and concourse level (Paid zone).",Where did you see this monkey?,Near the floor,On the glass panel,At street level,B,🐒,
upper-thomson-exit-2,Exit 2,exit-2-monkey-57,57,Escalator Acrobat,monkey-57.png,This monkey prefers the moving route—check the escalator area carefully. Heads up—this one may be higher than eye level. Location hint: In between escalator (mid tier).,Where did you see this monkey?,In the concourse,Along the tunnel wall,Between the escalators,C,🐒,
upper-thomson-exit-3,Exit 3,exit-3-monkey-58,58,Escalator Acrobat,monkey-58.png,This monkey prefers the moving route—check the escalator area carefully. Heads up—this one may be higher than eye level. You’ll be closer to street level for this one. Location hint: Escalator near street level.,Where did you see this monkey?,Above the exit walkway,Near the floor,Near the exit lift,A,🐒,
upper-thomson-exit-2,Exit 2,exit-2-monkey-59,59,Escalator Acrobat,monkey-59_60_61.png,"This cheeky monkey loves glass panels—peer through the glass, even if it looks a little dusty. You’ll be closer to street level for this one. Location hint: Left side of escalator coming upwards from station. Hard to spot..",Where did you see this monkey?,Near the floor,On the glass panel,At street level,B,🐒,
upper-thomson-exit-2,Exit 2,exit-2-monkey-60,60,Escalator Acrobat,monkey-59_60_61.png,"This cheeky monkey loves glass panels—peer through the glass, even if it looks a little dusty. You’ll be closer to street level for this one. Location hint: Left side of escalator coming upwards from station. Hard to spot..",Where did you see this monkey?,Near the floor,At street level,On the glass panel,C,🐒,
upper-thomson-exit-2,Exit 2,exit-2-monkey-61,61,Escalator Acrobat,monkey-59_60_61.png,"This cheeky monkey loves glass panels—peer through the glass, even if it looks a little dusty. You’ll be closer to street level for this one. Location hint: Left side of escalator coming upwards from station. Hard to spot..",Where did you see this monkey?,On the glass panel,Near the floor,At street level,A,🐒,
upper-thomson-exit-5,Exit 5,exit-5-monkey-62,62,Exit Explorer,monkey-62_63.png,This playful monkey is somewhere around Exit 5. Don't just stare ahead; this one hides lower than you think. Location hint: In between digital advertisement board and POSB ATM.,Where did you see this monkey?,In the concourse,Near the floor,Near the exit lift,B,🐒,
upper-thomson-exit-5,Exit 5,exit-5-monkey-63,63,Exit Explorer,monkey-62_63.png,This playful monkey is somewhere around Exit 5. Don't just stare ahead; this one hides lower than you think. Location hint: In between digital advertisement board and POSB ATM.,Where did you see this monkey?,In the concourse,Near the exit lift,Near the floor,C,🐒,
upper-thomson-concourse,Concourse,concourse-monkey-64,64,Glass Panel Peeker,monkey-64.png,"This cheeky monkey loves glass panels—peer through the glass, even if it looks a little dusty. Don't just stare ahead; this one hides lower than you think. Location hint: Side glass panel along the walk way (Near passenger service).",Where did you see this monkey?,On the glass panel,Near the floor,At street level,A,🐒,
upper-thomson-exit-3,Exit 3,exit-3-monkey-65,65,Tunnel Trickster,monkey-65.png,"This monkey is playing hide-and-seek in the tunnel, so scan the wall as you walk. Don't just stare ahead; this one hides lower than you think. Location hint: Right side of tunnel.",Where did you see this monkey?,By the lift shaft,Along the tunnel wall,Near the floor,B,🐒,
upper-thomson-exit-4,Exit 4,exit-4-monkey-66,66,Tunnel Trickster,monkey-66.png,"This monkey is playing hide-and-seek in the tunnel, so scan the wall as you walk. Heads up—this one may be higher than eye level. Location hint: Near lift, left side of tunnel.",Where did you see this monkey?,By the lift shaft,Near the floor,Along the tunnel wall,C,🐒,
upper-thomson-exit-4,Exit 4,exit-4-monkey-67,67,Tunnel Trickster,monkey-67.png,"This monkey is playing hide-and-seek in the tunnel, so scan the wall as you walk. Heads up—this one may be higher than eye level. Location hint: Near lift, left side of tunnel.",Where did you see this monkey?,Along the tunnel wall,By the lift shaft,Near the floor,A,🐒,
upper-thomson-exit-1,Exit 1,exit-1-monkey-68,68,Exit Explorer,monkey-68_69_70.png,This playful monkey is somewhere around Exit 1. Location hint: Nearer to ground level.,Where did you see this monkey?,On the ceiling,Near the exit,In the concourse,B,🐒,
upper-thomson-exit-1,Exit 1,exit-1-monkey-69,69,Exit Explorer,monkey-68_69_70.png,This playful monkey is somewhere around Exit 1. You’ll be closer to street level for this one. Location hint: Nearer to ground level.,Where did you see this monkey?,By the lift shaft,Facing Bojio,At street level,C,🐒,
upper-thomson-exit-1,Exit 1,exit-1-monkey-70,70,Exit Explorer,monkey-68_69_70.png,This playful monkey is somewhere around Exit 1. You’ll be closer to street level for this one. Location hint: Nearer to ground level.,Where did you see this monkey?,At street level,By the lift shaft,Facing Bojio,A,🐒,
upper-thomson-exit-5,Exit 5,exit-5-monkey-71,71,Glass Panel Peeker,monkey-71.png,"This cheeky monkey loves glass panels—peer through the glass, even if it looks a little dusty. You’ll be closer to street level for this one. Location hint: Near drain, need to see from outside of station, further away from Thomson Plaza.",Where did you see this monkey?,Near the floor,On the glass panel,At street level,B,🐒,
upper-thomson-exit-5,Exit 5,exit-5-monkey-72,72,Staircase Swinger,monkey-72.png,"This cheeky monkey loves glass panels—peer through the glass, even if it looks a little dusty. Location hint: Staircase (middle segment).",Where did you see this monkey?,Along the tunnel wall,Above the exit walkway,Near the stairs,C,🐒,
upper-thomson-exit-5,Exit 5,exit-5-monkey-73,73,Staircase Swinger,monkey-73.png,"This cheeky monkey loves glass panels—peer through the glass, even if it looks a little dusty. Location hint: Staircase (middle segment).",Where did you see this monkey?,Near the stairs,Along the tunnel wall,Above the exit walkway,A,🐒,
upper-thomson-exit-3,Exit 3,exit-3-monkey-74,74,Escalator Acrobat,monkey-74_75.png,This monkey prefers the moving route—check the escalator area carefully. Heads up—this one may be higher than eye level. You’ll be closer to street level for this one. Location hint: Escalator near street level.,Where did you see this monkey?,Near the floor,Above the exit walkway,Near the exit lift,B,🐒,
upper-thomson-exit-3,Exit 3,exit-3-monkey-75,75,Escalator Acrobat,monkey-74_75.png,This monkey prefers the moving route—check the escalator area carefully. Heads up—this one may be higher than eye level. You’ll be closer to street level for this one. Location hint: Escalator near street level.,Where did you see this monkey?,Near the floor,Near the exit lift,Above the exit walkway,C,🐒,
upper-thomson-exit-3,Exit 3,exit-3-monkey-76,76,Escalator Acrobat,monkey-76.png,This monkey prefers the moving route—check the escalator area carefully. Heads up—this one may be higher than eye level. You’ll be closer to street level for this one. Location hint: Escalator near street level.,Where did you see this monkey?,Above the exit walkway,Near the floor,Near the exit lift,A,🐒,
upper-thomson-exit-2,Exit 2,exit-2-monkey-77,77,Escalator Acrobat,monkey-77.png,"This monkey prefers the moving route—check the escalator area carefully. Heads up—this one may be higher than eye level. You’ll be closer to street level for this one. Location hint: In between 2 floors, noticable only when you go down the escalator. Extra hint: Safety: Please hold on to the handrail and pay attention to your surroundings.",Where did you see this monkey?,Near the floor,Above the exit walkway,Near the exit lift,B,🐒,
upper-thomson-exit-5,Exit 5,exit-5-monkey-78,78,Escalator Acrobat,monkey-78.png,"This monkey prefers the moving route—check the escalator area carefully. Location hint: Under Fire Extinguisher sign, near escalator.",Where did you see this monkey?,Near the carpark exit,Between the escalators,Near the fire extinguisher banner,C,🐒,
upper-thomson-exit-2,Exit 2,exit-2-monkey-79,79,Glass Panel Peeker,monkey-79.png,"This cheeky monkey loves glass panels—peer through the glass, even if it looks a little dusty. Don't just stare ahead; this one hides lower than you think. You’ll be closer to street level for this one. Location hint: Walkway near the bus stop.",Where did you see this monkey?,On the glass panel,Near the floor,At street level,A,🐒,
upper-thomson-exit-2,Exit 2,exit-2-monkey-80,80,Glass Panel Peeker,monkey-80.png,"This cheeky monkey loves glass panels—peer through the glass, even if it looks a little dusty. Don't just stare ahead; this one hides lower than you think. You’ll be closer to street level for this one. Location hint: Walkway near the bus stop.",Where did you see this monkey?,Near the floor,On the glass panel,At street level,B,🐒,
upper-thomson-exit-5,Exit 5,exit-5-monkey-81,81,Staircase Swinger,monkey-81.png,This monkey picked the stairs for a dramatic entrance. Heads up—this one may be higher than eye level. You’ll be closer to street level for this one. Location hint: Façade of Exit 5 facing main road (above Exit Staircase 1).,Where did you see this monkey?,Along the tunnel wall,Above the exit walkway,Near the stairs,C,🐒,
upper-thomson-concourse,Concourse,concourse-monkey-82,82,Concourse Clown,monkey-82.png,"This playful monkey is somewhere around Concourse. Location hint: Near Passenger Service, hidden in the back alley. Extra hint: Monkeys may need help getting around.",Where did you see this monkey?,In the concourse,Along the tunnel wall,At street level,A,🐒,
upper-thomson-exit-4,Exit 4,exit-4-monkey-83,83,Exit Explorer,monkey-83-84.png,"This monkey hides near something bright and safety-related—good eyes will spot it. You might notice the tail before you spot the whole monkey. Location hint: Along the walkway, near the fire extinguisher banner closer to exit 4.",Where did you see this monkey?,Near the carpark exit,Near the fire extinguisher banner,Between the escalators,B,🐒,
upper-thomson-exit-4,Exit 4,exit-4-monkey-84,84,Exit Explorer,monkey-83-84.png,"This monkey hides near something bright and safety-related—good eyes will spot it. Location hint: Along the walkway, near the fire extinguisher banner closer to exit 4.",Where did you see this monkey?,Near the carpark exit,Between the escalators,Near the fire extinguisher banner,C,🐒,
upper-thomson-exit-4,Exit 4,exit-4-monkey-85,85,Staircase Swinger,monkey-85.png,This monkey picked the stairs for a dramatic entrance. Heads up—this one may be higher than eye level. Location hint: Staircase.,Where did you see this monkey?,Near the stairs,Along the tunnel wall,Above the exit walkway,A,🐒,
upper-thomson-exit-4,Exit 4,exit-4-monkey-86,86,Escalator Acrobat,monkey-86.png,This monkey prefers the moving route—check the escalator area carefully. Location hint: Between escalator.,Where did you see this monkey?,In the concourse,Between the escalators,Along the tunnel wall,B,🐒,
upper-thomson-exit-2,Exit 2,exit-2-monkey-87,87,Tunnel Trickster,monkey-87.png,"This monkey is playing hide-and-seek in the tunnel, so scan the wall as you walk. Location hint: Near lift of exit, end of tunnel (concourse).",Where did you see this monkey?,Near the gantry,Near the stairs,Near the exit lift,C,🐒,
upper-thomson-exit-2,Exit 2,exit-2-monkey-88,88,Tunnel Trickster,monkey-88.png,"This monkey is playing hide-and-seek in the tunnel, so scan the wall as you walk. Location hint: Near lift of exit, end of tunnel (concourse).",Where did you see this monkey?,Near the exit lift,Near the gantry,Near the stairs,A,🐒,
